City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,Ashland,US,88.16,broken clouds,40.8167,-82.2665,SureStay
635,Kintampo,GH,80.67,light rain,8.0563,-1.7306,Adomaa Memorial Hotel
639,Poum,NC,78.19,broken clouds,-20.2333,164.0167,
640,Saint George,US,81.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
644,Caruray,PH,80.49,broken clouds,10.3094,119.0128,
645,Sokoni,TZ,80.46,clear sky,-6.4333,39.55,Ujamaa Beach Resort
647,Kuala Terengganu,MY,80.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
649,Sidi Ali,DZ,88.11,few clouds,36.0998,0.4206,Complexe touristique haje bezine
650,Itarema,BR,85.37,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
651,Alsonemedi,HU,85.42,clear sky,47.3152,19.1584,Dunaharaszti jet-ski lake
652,Tautira,PF,78.19,light rain,-17.7333,-149.15,Pension Oaoa
653,Mana,GF,82.44,broken clouds,5.6592,-53.7767,LE SAMANA
654,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
655,Faya,SA,82.51,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
656,Yinchuan,CN,85.01,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
657,Acarau,BR,84.94,scattered clouds,-2.8856,-40.12,castelo pizzaria
660,Mkuranga,TZ,81.59,clear sky,-7.118,39.2078,Vikindu
661,Altamira,BR,87.69,clear sky,-3.2033,-52.2064,Requinte Hotel
667,Buchanan,LR,78.26,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
668,Mabaruma,GY,86.0,broken clouds,8.2,-59.7833,Monty Brooms Guest House
669,Brasileia,BR,84.65,scattered clouds,-11.0161,-68.7481,Pousada Tobias
673,Lasa,IT,77.36,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
